Country,Girls Intensive 11 Year Old (%),Boys Intensive 11 Year Old (%),Girls Intensive 13 Year Old (%),Boys Intensive 13 Year Old (%),Girls Intensive 15 Year Old (%),Boys Intensive 15 Year Old (%),Girls Problematic 11 Year Old (%),Boys Problematic 11 Year Old (%),Girls Problematic 13 Year Old (%),Boys Problematic 13 Year Old (%),Girls Problematic 15 Year Old (%),Boys Problematic 15 Year Old (%)
Albania,42,44,47,42,55,50,4,8,13,10,18,13
Armenia,27,33,37,31,45,40,3,8,4,9,4,6
Austra,30,28,31,29,43,34,2,3,8,5,5,4
Azerbaijan,14,12,14,17,22,21,14,24,5,5,7,7
Belgium (Flemish),30,31,56,42,56,45,4,5,9,5,9,5
Belgium (French),28,32,45,43,46,40,5,8,9,6,12,6
Bulgaria,43,33,53,41,43,35,4,4,8,5,9,5
Canada,24,18,38,28,47,38,5,7,9,8,16,7
Croatia,25,18,42,26,48,30,3,4,7,5,7,4
Czechia,12,16,24,20,35,23,2,3,6,3,6,3
Denmark,28,33,41,33,42,41,5,4,12,6,9,9
England,29,26,40,29,43,37,4,6,7,6,7,4
Estonia,29,27,36,29,36,31,6,5,13,11,14,10
Finland,21,14,35,19,43,27,5,6,10,5,11,5
France,28,25,44,32,50,40,2,5,4,5,4,5
Georgia,26,26,26,19,39,32,3,5,7,6,4,5
Germany,23,22,34,30,34,26,3,5,16,9,17,7
Greece,23,26,42,29,42,37,5,6,9,7,10,7
HBSC Average,28,27,40,31,46,36,5,6,6,5,7,2
Hungary,19,18,22,21,34,28,1,4,4,6,7,5
Iceland,17,20,38,32,53,41,5,8,15,10,17,13
Ireland,24,24,47,33,61,39,10,9,15,9,11,6
Italy,49,40,59,39,63,48,3,5,4,3,4,5
Kazakhstan,23,24,31,30,38,36,5,4,6,5,7,3
Latvia,17,17,30,24,37,26,6,8,10,7,8,7
Lithuania,37,37,45,37,50,36,6,6,9,5,8,7
Luxembourg,22,24,42,34,45,36,13,12,20,13,18,17
Malta,39,36,52,34,49,42,2,1,4,4,5,3
Netherlands,14,15,34,24,46,28,3,6,10,9,17,10
North Macedonia,42,43,51,48,59,49,8,9,12,9,9,10
Norway,31,32,51,41,58,48,6,4,12,7,10,6
Poland,36,31,51,37,56,41,4,4,9,6,6,6
Portugal,31,29,45,35,51,36,4,7,6,7,11,9
Republic of Moldova,37,38,46,41,51,41,10,9,17,10,18,10
Romania,42,45,53,44,57,48,6,9,7,7,8,7
Russian Federation,31,26,37,32,41,34,6,7,11,7,14,11
Scotland,30,33,46,35,50,41,4,3,8,6,12,6
Serbia,41,35,59,42,62,46,2,3,7,4,9,6
Slovenia,26,24,30,26,42,27,6,11,12,18,16,16
Spain,28,31,42,36,47,33,3,4,7,3,9,4
Sweden,25,23,54,39,56,44,4,4,6,4,4,4
Ukraine,30,26,37,29,40,30,6,7,7,6,8,6
Wales,31,29,44,30,45,35,7,9,16,11,16,10